model,accuracy,precision,recall,f1,roc_auc,cv_f1_mean,cv_f1_std
Logistic Regression,0.8069599474720945,0.7752293577981652,0.7752293577981652,0.7752293577981652,0.8723215196911632,0.7465976804186338,0.0041466635967807135
Multinomial Naive Bayes,0.8187787261982928,0.869140625,0.6804281345565749,0.7632933104631218,0.8684557806610993,0.7272800253063233,0.009104185197843334
Linear SVM,0.7925147734734077,0.7514880952380952,0.77217125382263,0.7616892911010558,0.8550673381122806,0.7221310516219491,0.01385162084216881
Gradient Boosting,0.7747866053841103,0.849438202247191,0.5779816513761468,0.6878980891719745,0.8345236712731776,0.642731005064529,0.012405821254567146
Random Forest,0.7734734077478661,0.844097995545657,0.5795107033639144,0.6872166817769719,0.8472250081819237,0.6463807599851511,0.022685961684167085
